Pontos,NORTE,ESTE,ELEVACAO,Tipo,TRACKER,PRIMEIRA ESTACA,NORTE_1,ESTE_1,ELEVACAO_1,ELEVACAO_ULT,ELEVACAO_CORRIGIDA,NORTE_CORRIGIDO
1,9372832.9682,818933.6252,186.3288,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.328800060025,9372832.9682
2,9372824.8629,818933.6252,186.4776,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.47492872551982,9372824.899312891
3,9372815.4345,818933.6252,186.6848,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.7444713339068,9372815.47172069
4,9372806.0061,818933.6252,186.8906,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.890599999426,9372806.04412849
5,9372796.5777,818933.6252,186.9201,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.91331472205303,9372796.61653629
6,9372787.1493,818933.6252,186.7921,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,186.9008290325853,9372787.188142488
7,9372778.2295,818933.6252,187.0051,EstacaMotora,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.00509991769835,9372778.268814765
8,9372769.3098,818933.6252,187.0756,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.0756000001793,9372769.349171985
9,9372759.8814,818933.6252,187.0858,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.08404434989117,9372759.920929039
10,9372749.13,818933.6252,186.9966,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.01859641741203,9372749.169725545
11,9372739.7016,818933.6252,187.0744,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.07656242782505,9372739.741328517
12,9372730.2795,818933.6252,187.3608,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.25785991667195,9372730.320033912
13,9372720.8465,818933.6252,187.3663,EstacaInterna,tracker-1,1,9372832.9682,818933.6252186.3288187.3663,,,187.3663,9372720.887033911
14,9372832.9682,818940.6252,187.2381,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.25021442425972,9372832.9682
15,9372824.8629,818940.6252,187.2017,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.19342397978886,9372824.88451489
16,9372815.4345,818940.6252,187.3888,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.26004747821017,9372815.456120018
17,9372806.0061,818940.6252,187.4209,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.45008491949926,9372806.028527819
18,9372796.5777,818940.6252,187.5215,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.51670841789618,9372796.600935617
19,9372787.1493,818940.6252,187.4592,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.45991797340093,9372787.172541346
20,9372778.2295,818940.6252,187.5042,EstacaMotora,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.51988410348645,9372778.252741912
21,9372769.3098,818940.6252,187.7091,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.696605499171,9372769.333725883
22,9372759.8814,818940.6252,187.8103,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.74991295196338,9372759.905947095
23,9372749.13,818940.6252,187.5154,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.68269851487017,9372749.15455879
24,9372739.7016,818940.6252,187.7378,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.73889802066913,9372739.726165233
25,9372730.2795,818940.6252,188.1022,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.91842900490195,9372730.304870628
26,9372720.8465,818940.6252,187.9945,EstacaInterna,tracker-2,14,9372832.9682,818940.6252187.2381187.9945,,,187.9945,9372720.871870628
27,9372832.9682,818947.6252,187.9041,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,187.9030791657532,9372832.9682
28,9372824.8629,818947.6252,187.8347,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,187.8854826051383,9372824.884839639
29,9372815.4345,818947.6252,187.9913,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,187.99129998741554,9372815.456852397
30,9372806.0061,818947.6252,187.989,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,187.98900000246974,9372806.029020714
31,9372796.5777,818947.6252,188.0318,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,188.03180005252025,9372796.600707699
32,9372787.1493,818947.6252,188.1289,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,188.12889999390998,9372787.172482403
33,9372778.2295,818947.6252,188.1792,EstacaMotora,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,188.17920005460712,9372778.25280518
34,9372769.3098,818947.6252,188.3483,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,188.3109569975938,9372769.333438085
35,9372759.8814,818947.6252,188.3193,EstacaInterna,tracker-3,27,9372832.9682,818947.6252187.9041188.6133,,,188.3192999976883,9372759.905659297
